Product Description	Price	Prime Status	Product URL	Stars	Number of Reviews
ASUS Dual AMD Radeon RX 6600 V2 Scheda Grafica, 8 GB GDDR6 128-bit 14 Gbps PCIE 4.0, GPU Tweak III, DUAL-RX6600-8G-V2	244,	Non-Prime	https://www.amazon.it/ASUS-Radeon-Grafica-128-bit-DUAL-RX6600-8G-V2/dp/B0BRYR7QPV/ref=sr_1_12?keywords=gpu&qid=1699547722&sr=8-12	4,5 su 5 stelle	35
MSI GeForce RTX 4060 GAMING X 8G Scheda Grafica - RTX 4060 GPU, 8GB GDDR6 (17Gbps/128-bit), PCIe 4.0 - TWIN FROZR 9 (2 x TORX Fan 5.0), RGB - HDMI 2.1, DisplayPort 1.4a	371,	Non-Prime	https://www.amazon.it/MSI-GeForce-GAMING-Scheda-Grafica/dp/B0C7WCKXB6/ref=sr_1_13?keywords=gpu&qid=1699547722&sr=8-13	4,7 su 5 stelle	230
ASUS NVIDIA GeForce GT 710 Scheda grafica PCIe 2.0, Memoria DDR3 2 GB, Raffreddamento Passivo, Auto-Extreme, GPU Tweak III, Grigio	51,	Non-Prime	https://www.amazon.it/ASUS-grafica-GeForce-profilo-silenzioso/dp/B0B7XRYLVT/ref=sr_1_14?keywords=gpu&qid=1699547722&sr=8-14	4,3 su 5 stelle	410
ASUS Dual NVIDIA GeForce RTX 3050 V2 OC Edition Scheda Grafica, 8 GB GDDR6 128-bit 14 Gbps PCIE 4.0, GPU Tweak III, DUAL-RTX3050-O8G-V2	257,	Prime	https://www.amazon.it/ASUS-GeForce-Grafica-128-bit-DUAL-RTX3050-O8G-V2/dp/B0BY6XKC5K/ref=sr_1_15?keywords=gpu&qid=1699547722&sr=8-15	4,4 su 5 stelle	4
Scheda grafica da gioco ZOTAC GEFORCE RTX 3060 Twin Edge da 12 GB GDDR6	318,	Prime	https://www.amazon.it/Scheda-grafica-gioco-ZOTAC-GEFORCE/dp/B08WRF18SC/ref=sr_1_16?keywords=gpu&qid=1699547722&sr=8-16	4,5 su 5 stelle	242
ASUS NVIDIA GeForce GT 730 PCIe 2.0, Memoria DDR3 2 GB, Design a Slot Singolo, Auto-Extreme, GPU Tweak II, Nero	79,	Prime	https://www.amazon.it/ASUS-GeForce-Carte-Graphique-Profil/dp/B0B6FT5V2B/ref=sr_1_17?keywords=gpu&qid=1699547722&sr=8-17	4,8 su 5 stelle	6
ASUS Dual NVIDIA GeForce RTX 4070 OC Edition Scheda Grafica, 12 GB GDDR6X 192-bit 21 Gbps PCIE 4.0, GPU Tweak III, DUAL-RTX4070-O12G-WHITE	693,	Non-Prime	https://www.amazon.it/ASUS-GeForce-Grafica-192-bit-DUAL-RTX4070-O12G-WHITE/dp/B0C1T4NSFB/ref=sr_1_18?keywords=gpu&qid=1699547722&sr=8-18	4,7 su 5 stelle	30
ASUS TUF Gaming AMD Radeon RX 6500 XT OC Edition Scheda Grafica, AMD RDNA 2, PCIe 4.0, 4GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Ventole Axial Tech e Doppi Cuscinetti a Sfera, GPU Tweak II, Nero	179,	Prime	https://www.amazon.it/ASUS-Grafica-DisplayPort-Ventole-Cuscinetti/dp/B09PRRQ3QC/ref=sr_1_19?keywords=gpu&qid=1699547722&sr=8-19	4,1 su 5 stelle	76
maxsun Scheda Video GEFORCE GT 710 1GB Scheda grafica a basso profilo Ready GPU DirectX 12, VGA, DVI-D, HDMI, Sistema di raffreddamento passiva silenziosa con raffreddamento passivo 0 dB efficiente	59,	Prime	https://www.amazon.it/MAXSUN-GT-710-raffreddamento-silenzioso/dp/B08Y5S5P55/ref=sr_1_20?keywords=gpu&qid=1699547722&sr=8-20	4,4 su 5 stelle	342
MUTOUHE Supporto per scheda grafica, supporto GPU in alluminio per schede grafiche regolabili per una vasta gamma di computer e schede grafiche (nero)	5,	Non-Prime	https://www.amazon.it/MUTOUHE-Supporto-supporto-alluminio-regolabili/dp/B0C5Q3BL3X/ref=sr_1_21?keywords=gpu&qid=1699547722&sr=8-21	5,0 su 5 stelle	3
MSI GeForce RTX 4070 VENTUS 2X 12G OC, Scheda Video Gaming -Memoria 12GB GDDR6X (21 Gbps/192-bit), PCI Express® Gen 4, DisplayPort x 3 (v1.4a), Boost clock 2505 MHz,TORX Fan 4.0, HDMI 2.1a	666,	Non-Prime	https://www.amazon.it/gp/bestsellers/pc/460090031/ref=sr_bs_21_460090031_1	4,6 su 5 stelle	463
ASUS DUAL AMD Radeon RX 7600 V2 OC Edition Scheda Grafica, 8 GB GDDR6 128-bit 18 Gbps PCIE 4.0, GPU Tweak III, DUAL-RX7600-O8G-V2	315,	Prime	https://www.amazon.it/ASUS-Radeon-Grafica-128-bit-DUAL-RX7600-O8G-V2/dp/B0C6B3147Z/ref=sr_1_23?keywords=gpu&qid=1699547722&sr=8-23	5,0 su 5 stelle	4
adspow Supporto Scheda Grafica GPU, Supporto Scheda Video, Supporto in Alluminio per Scheda Video Nero Supporto GPU Altezza Regolabile, Mini (27-50 mm)	6,	Non-Prime	https://www.amazon.it/adspow-Supporto-Grafica-Alluminio-Regolabile/dp/B0BX9H2G12/ref=sr_1_24?keywords=gpu&qid=1699547722&sr=8-24	4,7 su 5 stelle	145
Scheda Grafica RX 580, Scheda Grafica GDDR5 da 8 GB 256 Bit con GPU 1284 MHz, 60 Hz 4K, PCI Express 3.0, 2 Ventole di Raffreddamento, Interfaccia DP HDMI DVI D	140,	Prime	https://www.amazon.it/Grafica-Express-Ventole-Raffreddamento-Interfaccia/dp/B0B8Q724XQ/ref=sr_1_25?keywords=gpu&qid=1699547722&sr=8-25	3,7 su 5 stelle	56
MSI GeForce RTX™ 4060 Ti VENTUS 3X 8G OC, Scheda Video Gaming - Memoria 8GB GDDR6 ( 18Gbps/128-bit), PCI Express® Gen 4 x 16, DisplayPort x 3 (v1.4a), Torx Fan 4.0, HDMI 2.1a, Zero Frozr	473,	Non-Prime	https://www.amazon.it/MSI-GeForce-VENTUS-Scheda-Gaming/dp/B0C4F9HCF6/ref=sr_1_26?keywords=gpu&qid=1699547722&sr=8-26	4,4 su 5 stelle	125
ASUS Dual NVIDIA GeForce RTX 3050 OC Edition Scheda Grafica, 8GB GDDR6, PCIe 4.0, HDMI 2.1, DisplayPort 1.4a, Due Ventole Axial-Tech, PSU Consigliata 550W, GPU Tweak II, Tecnologia 0dB, LHR	317,	Non-Prime	https://www.amazon.it/GeForce-DisplayPort-Axial-Tech-Consigliata-Tecnologia/dp/B09QMG6FZX/ref=sr_1_27?keywords=gpu&qid=1699547722&sr=8-27	4,5 su 5 stelle	526
ASUS NVIDIA GeForce GT 730, Scheda Grafica, 2GB GDDR5, PCIe 2.0, HDMI, DVI, D-Sub, Supporta Fino a 3 Monitor, Design a due Slot, Ridotto Consumo Energetico, GPU Tweak II, Blu/Nero	80,	Prime	https://www.amazon.it/GeForce-Grafica-Supporta-Monitor-Energetico/dp/B01A9GJ55K/ref=sr_1_28?keywords=gpu&qid=1699547722&sr=8-28	4,4 su 5 stelle	810
maxsun AMD Radeon RX 580 8GB 2048SP GDDR5 Computer Video Scheda Grafica GPU per PC Gaming 256-Bit DirectX 12 DVI, HDMI, DisplayPort Multi Monitor Extend (nero)	132,	Non-Prime	https://www.amazon.it/maxsun-RX-580-2048SP-DisplayPort/dp/B0BY1GHRDV/ref=sr_1_29?keywords=gpu&qid=1699547722&sr=8-29	4,2 su 5 stelle	95
XFX VGA RADEON RX 6600 SPEEDSTER SWFT 210 8GB GDDR6	219,	Non-Prime	https://www.amazon.it/XFX-SPEEDSTER-RADEON-grafica-RX-66XL8LFDQ/dp/B09HHLX543/ref=sr_1_30?keywords=gpu&qid=1699547722&sr=8-30	4,6 su 5 stelle	2.519
Nuwo Scheda Video RX580 AMD RADEON RX 580 2048SP, 8 GB GDDR5, 256 bit, 1284MHz, Scheda Grafica GPU per PC Gaming, DVI, HDMI, DisplayPort, PCI Express 3.0 x16, Supporta DirectX 12, Bulk	N/A	Non-Prime	https://www.amazon.it/Nuwo-1284MHz-Grafica-DisplayPort-Supporta/dp/B0CDQ78HWC/ref=sr_1_31?keywords=gpu&qid=1699547722&sr=8-31	3,9 su 5 stelle	15
XFX SPEEDSTER QICK319 RADEON RX 6750XT CORE Gaming Scheda Grafica con 12GB GDDR6 HDMI 3xDP, AMD RDNA™ 2 (RX-675XYJFDP)	379,	Non-Prime	https://www.amazon.it/XFX-SPEEDSTER-QICK319-Grafica-RX-675XYJFDP/dp/B0B34M1YLW/ref=sr_1_32?keywords=gpu&qid=1699547722&sr=8-32	4,6 su 5 stelle	660
Gintai Cavo di alimentazione 10 Pin a 8 + 8 Pin per HP DL380 G9 e GPU 50 cm	25,	Non-Prime	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozNzQ2Nzc0NzI0Mzc0Njc3OjE2OTk1NDc3MjI6c3BfbXRmOjMwMDAyNzQ0NDkyNzczMjo6MDo6&url=%2FGintai-Cavo-alimentazione-Pin-DL380%2Fdp%2FB08725PCJZ%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dgpu%26qid%3D1699547722%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	N/A	N/A
RX580 8GB GDDR5 Scheda Grafica da Gioco a 256 Bit, Risoluzione 4096x2160 8 Pin Computer PC Gaming Video Scheda Grafica GPU con Doppia Ventola di RaffreddamentoPCI 3.0	150,	Non-Prime	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozNzQ2Nzc0NzI0Mzc0Njc3OjE2OTk1NDc3MjI6c3BfbXRmOjMwMDAwNTM3NTUwMTIzMjo6MDo6&url=%2FGrafica-Risoluzione-4096x2160-Computer-RaffreddamentoPCI%2Fdp%2FB0BV6KYKKN%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dgpu%26qid%3D1699547722%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	5,0 su 5 stelle	1
Iunipusy per scheda grafica GPU, 50 cm, di alimentazione GPU, 10 x 6 pin, PCIE fino a 8 pin (6 + 2), di alimentazione per alimentatore modulare, scheda grafica	11,	Non-Prime	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozNzQ2Nzc0NzI0Mzc0Njc3OjE2OTk1NDc3MjI6c3BfbXRmOjMwMDA3MDYwNjQ0MjIzMjo6MDo6&url=%2FIunipusy-grafica-alimentazione-alimentatore-modulare%2Fdp%2FB0BP7GHDV4%2Fref%3Dsr_1_35_sspa%3Fkeywords%3Dgpu%26qid%3D1699547722%26sr%3D8-35-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1	N/A	Disponibilità: solo 6
